dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,23.279937,5.752693,23.334558,3.012096,-2.943659,0.024380,0.020398
0.050000,23.423159,5.755480,23.477807,2.864971,-2.942499,0.023200,0.018524
0.050000,23.559033,5.757875,23.613702,2.717901,-2.941398,0.022023,0.016722
0.050000,23.687561,5.759914,23.742246,2.570884,-2.940355,0.020850,0.014998
0.050000,23.808744,5.761633,23.863442,2.423915,-2.939371,0.019681,0.013355
0.050000,23.922585,5.763064,23.977292,2.276993,-2.938445,0.018516,0.011795
0.050000,24.029084,5.764242,24.083797,2.130114,-2.937577,0.017357,0.010322
0.050000,24.128243,5.765197,24.182961,1.983276,-2.936767,0.016203,0.008939
0.050000,24.220064,5.765959,24.274785,1.836475,-2.936014,0.015055,0.007648
0.050000,24.304547,5.766555,24.359270,1.689709,-2.935319,0.013912,0.006451
0.050000,24.381694,5.767010,24.436419,1.542975,-2.934680,0.012775,0.005350
0.050000,24.451507,5.767348,24.506233,1.396270,-2.934098,0.011644,0.004348
0.050000,24.513986,5.767592,24.568712,1.249591,-2.933572,0.010519,0.003447
0.050000,24.569133,5.767760,24.623859,1.102936,-2.933102,0.009398,0.002647
0.050000,24.616948,5.767870,24.671674,0.956302,-2.932688,0.008283,0.001951
0.050000,24.657432,5.767937,24.712158,0.809685,-2.932329,0.007172,0.001360
0.050000,24.690586,5.767974,24.745312,0.663084,-2.932026,0.006065,0.000874
0.050000,24.716411,5.767992,24.771137,0.516495,-2.931778,0.004962,0.000495
0.050000,24.734907,5.767998,24.789633,0.369916,-2.931585,0.003862,0.000222
0.050000,24.746074,5.768000,24.800800,0.223344,-2.931447,0.002764,0.000058
0.050000,24.749913,5.768000,24.804639,0.076776,-2.931363,0.001668,0.000001
0.050000,24.750000,5.768000,24.804726,0.001746,-1.500589,28.615480,0.000000
0.050000,24.750000,5.768000,24.804726,0.000000,-0.034922,29.313349,0.000000
